speaker	wordcount	percentage
Bacchis	549	7.52
Cantor	1	0.01
Laches	1634	22.37
Myrrina	241	3.3
Pamphilvs	1552	21.25
Parmeno	1197	16.39
Phidippvs	866	11.86
Philotis	257	3.52
Prologvs	364	4.98
Sosia	66	0.9
Sostrata	498	6.82
Syra	79	1.08
