speaker	wordcount	percentage
Antipho	852	10.17
Cantor	4	0.05
Chremes	698	8.33
Cratinvs	34	0.41
Crito	6	0.07
Davos	248	2.96
Demipho	1440	17.19
Dorio	170	2.03
Geta	2348	28.02
Hegio	32	0.38
Navsistrata	341	4.07
Phaedria	495	5.91
Phormio	1303	15.55
Prologvs	227	2.71
Sophrona	181	2.16
