speaker	wordcount	percentage
Antiphila	32	0.37
Bacchis	270	3.1
Cantor	4	0.05
Chremes	2905	33.31
Clinia	525	6.02
Clitipho	947	10.86
Dromo	22	0.25
Menedemvs	1161	13.31
Nvtrix	9	0.1
Phrygia	2	0.02
Prologvs	328	3.76
Sostrata	371	4.25
Syrvs	2144	24.59
