speaker	wordcount	percentage
Antipho	208	2.35
Cantor	4	0.05
Chaerea	1452	16.41
Chremes	496	5.61
Dorias	308	3.48
Dorvs	41	0.46
Gnatho	1049	11.86
Parmeno	1444	16.32
Phaedria	787	8.89
Prologvs	289	3.27
Pythias	957	10.82
Sanga	23	0.26
Senex	103	1.16
Sophrona	1	0.01
Thais	1126	12.73
Thraso	560	6.33
