speaker	wordcount	percentage
Aeschinvs	880	10.97
Canthara	91	1.13
Cantor	1	0.01
Ctesipho	324	4.04
Demea	2078	25.89
Dromo	7	0.09
Geta	369	4.6
Hegio	434	5.41
Micio	1779	22.17
Pamphila	11	0.14
Parmeno	2	0.02
Prologvs	151	1.88
Sannio	517	6.44
Sostrata	253	3.15
Syrvs	1128	14.06
